Adolphe Menjou
Adrien Brody
Al Pacino
Alan Arkin
Alan Bates
Albert Finney
Alec Guinness
Alexander Knox
Alfred Lunt
Anthony Franciosa
Anthony Hopkins
Anthony Quinn
Art Carney
Arthur Kennedy
Barry Fitzgerald
Ben Kingsley
Benedict Cumberbatch
Bill Murray
Billy Bob Thornton
Bing Crosby
Bob Hoskins
Brad Pitt
Bradley Cooper
Broderick Crawford
Bruce Dern
Bryan Cranston
Burt Lancaster
Cary Grant
Charles Boyer
Charles Chaplin
Charles Laughton
Charlton Heston
Chester Morris
Chiwetel Ejiofor
Christian Bale
Clark Gable
Cliff Robertson
Clifton Webb
Clint Eastwood
Colin Firth
Cornel Wilde
Dan Dailey
Dan O'Herlihy
Daniel Day-Lewis
David Niven
David Strathairn
Demián Bichir
Denzel Washington
Dexter Gordon
Don Cheadle
Dudley Moore
Dustin Hoffman
Ed Harris
Eddie Redmayne
Edward James Olmos
Edward Norton
Emil Jannings
Ernest Borgnine
F. Murray Abraham
Forest Whitaker
Franchot Tone
Frank Langella
Frank Morgan
Frank Sinatra
Fredric March
Gary Busey
Gary Cooper
Gary Oldman
Gene Hackman
Gene Kelly
Geoffrey Rush
George Arliss
George Bancroft
George C. Scott
George Clooney
Giancarlo Giannini
Gregory Peck
Gérard Depardieu
Harrison Ford
Heath Ledger
Henry Fonda
Hugh Jackman
Humphrey Bogart
Ian McKellen
Jack Lemmon
Jack Nicholson
Jackie Cooper
James Cagney
James Dean
James Earl Jones
James Franco
James Garner
James Mason
James Stewart
James Whitmore
James Woods
Jamie Foxx
Javier Bardem
Jean Dujardin
Jeff Bridges
Jeremy Irons
Jeremy Renner
Jesse Eisenberg
Joaquin Phoenix
John Garfield
John Hurt
John Travolta
John Wayne
Johnny Depp
Jon Voight
José Ferrer
Jude Law
Kenneth Branagh
Kevin Costner
Kevin Spacey
Kirk Douglas
Larry Parks
Laurence Fishburne
Laurence Harvey

Lawrence Tibbett
Lee Marvin
Leonardo DiCaprio
Leslie Howard
Lew Ayres
Lewis Stone
Liam Neeson
Lionel Barrymore
Louis Calhern
Marcello Mastroianni
Marlon Brando
Massimo Troisi
Matt Damon
Matthew McConaughey
Maurice Chevalier
Max von Sydow
Maximilian Schell
Melvyn Douglas
Michael Caine
Michael Douglas
Michael Fassbender
Michael Keaton
Michael Redgrave
Mickey Rooney
Mickey Rourke
Montgomery Clift
Monty Woolley
Morgan Freeman
Nick Nolte
Nicolas Cage
Nigel Hawthorne
Orson Welles
Oskar Werner
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Paul Winfield
Peter Finch
Peter Finch ^[39]
Peter Fonda
Peter O'Toole
Peter Sellers
Philip Seymour Hoffman
Ralph Fiennes
Ray Milland
Raymond Massey
Rex Harrison
Richard Barthelmess
Richard Burton
Richard Dix
Richard Dreyfuss
Richard Farnsworth
Richard Harris
Richard Jenkins
Richard Todd
Robert De Niro
Robert Donat
Robert Downey, Jr.
Robert Duvall
Robert Montgomery
Robert Redford
Roberto Benigni
Robin Williams
Rock Hudson
Rod Steiger
Ron Moody
Ronald Colman
Roy Scheider
Russell Crowe
Ryan Gosling
Ryan O'Neal
Sam Waterston
Sean Penn
Sidney Poitier
Spencer Tracy
Stephen Rea
Steve Carell
Steve McQueen
Stuart Whitman
Sylvester Stallone
Terrence Howard
Tom Conti
Tom Courtenay
Tom Cruise
Tom Hanks
Tom Hulce
Tom Wilkinson
Tommy Lee Jones
Tony Curtis
Topol
Trevor Howard
Victor McLaglen
Viggo Mortensen
Wallace Beery
Walter Huston
Walter Matthau
Walter Pidgeon
Warner Baxter
Warren Beatty
Will Smith
William Holden
William Hurt
William Powell
Woody Allen
Woody Harrelson
Yul Brynner
