Ali MacGraw
Amy Adams
Angela Bassett
Angelina Jolie
Anjelica Huston
Ann Harding
Ann-Margret
Anna Magnani
Anne Bancroft
Anne Baxter
Anne Hathaway
Annette Bening
Anouk Aimée
Audrey Hepburn
Ava Gardner
Barbara Stanwyck
Barbra Streisand
Bessie Love
Bette Davis
Bette Midler
Betty Compson
Brenda Blethyn
Brie Larson
Carey Mulligan
Carol Kane
Carole Lombard
Carrie Snodgress
Carroll Baker
Catalina Sandino Moreno
Cate Blanchett
Catherine Deneuve
Celia Johnson
Charlize Theron
Charlotte Rampling
Cher
Cicely Tyson
Claudette Colbert
Corinne Griffith
Debbie Reynolds
Deborah Kerr
Debra Winger
Diahann Carroll
Diana Ross
Diana Wynyard
Diane Keaton
Diane Lane
Doris Day
Dorothy Dandridge
Dorothy McGuire
Edith Evans
Eleanor Parker
Elisabeth Bergner
Elisabeth Shue
Elizabeth Hartman
Elizabeth Taylor
Ellen Burstyn
Ellen Page
Emily Watson
Emma Thompson
Emmanuelle Riva
Fay Bainter
Faye Dunaway
Felicity Huffman
Felicity Jones
Fernanda Montenegro
Frances McDormand
Gabourey Sidibe
Geena Davis
Gena Rowlands
Gene Tierney
Geneviève Bujold
Geraldine Page
Ginger Rogers
Gladys George
Glenda Jackson
Glenn Close
Gloria Swanson
Goldie Hawn
Grace Kelly
Grace Moore
Greer Garson
Greta Garbo
Gwyneth Paltrow
Halle Berry
Helen Hayes
Helen Hunt
Helen Mirren
Helena Bonham Carter
Hilary Swank
Holly Hunter
Ida Kamińska
Imelda Staunton
Ingrid Bergman
Irene Dunne
Isabelle Adjani
Jane Alexander
Jane Fonda
Jane Wyman
Janet Gaynor
Janet McTeer
Janet Suzman
Jean Arthur
Jean Simmons
Jeanne Crain
Jeanne Eagels
Jennifer Jones
Jennifer Lawrence
Jessica Chastain
Jessica Lange
Jessica Tandy
Jill Clayburgh
Joan Allen
Joan Crawford
Joan Fontaine
Joanne Woodward
Jodie Foster
Judi Dench
Judy Davis
Judy Garland
Judy Holliday
Julia Roberts
Julianne Moore
Julie Andrews
Julie Christie
Julie Harris
Julie Walters
Juliette Binoche
Kate Winslet
Katharine Hepburn
Kathleen Turner
Kathy Bates
Keira Knightley
Keisha Castle-Hughes
Kim Stanley
Kristin Scott Thomas
Lana Turner
Laura Dern
Laura Linney
Lee Remick
Leslie Caron
Liv Ullmann
Liza Minnelli
Loretta Young
Louise Dresser
Louise Fletcher
Luise Rainer
Lynn Fontanne
Lynn Redgrave
Maggie McNamara
Maggie Smith
Margaret Sullavan
Marie Dressler
Marie-Christine Barrault
Marion Cotillard
Marlee Matlin
Marlene Dietrich
Marsha Mason
Martha Scott
Mary McDonnell
Mary Pickford
Mary Tyler Moore
May Robson
Melanie Griffith
Melina Mercouri
Melissa Leo
Merle Oberon
Meryl Streep
Michelle Pfeiffer
Michelle Williams
Miranda Richardson
Miriam Hopkins
Nancy Carroll
Nancy Kelly
Naomi Watts
Natalie Portman
Natalie Wood
Nicole Kidman
Norma Shearer
Olivia de Havilland
Patricia Neal
Pauline Collins
Penélope Cruz
Piper Laurie
Quvenzhané Wallis
Rachel Roberts
Reese Witherspoon
Renée Zellweger
Rooney Mara
Rosalind Russell
Rosamund Pike
Ruth Chatterton
Sally Field
Sally Kirkland
Salma Hayek
Samantha Eggar
Samantha Morton
Sandra Bullock
Saoirse Ronan
Sarah Miles
Sharon Stone
Shelley Winters
Shirley Booth
Shirley MacLaine
Sigourney Weaver
Simone Signoret
Sissy Spacek
Sophia Loren
Stockard Channing
Susan Hayward
Susan Sarandon
Talia Shire
Teresa Wright
Valerie Perrine
Vanessa Redgrave
Viola Davis
Vivien Leigh
Wendy Hiller
Whoopi Goldberg
Winona Ryder
